date,Italy,US,Spain,Germany,Korea
2020-01-22,0,1,0,0,0
2020-01-23,0,1,0,0,0
2020-01-24,0,2,0,0,0
2020-01-25,0,2,0,0,0
2020-01-26,0,5,0,0,0
2020-01-27,0,5,0,1,0
2020-01-28,0,5,0,4,0
2020-01-29,0,5,0,4,0
2020-01-30,0,5,0,4,0
2020-01-31,2,7,0,5,0
2020-02-01,2,8,1,8,0
2020-02-02,2,8,1,10,0
2020-02-03,2,11,1,12,0
2020-02-04,2,11,1,12,0
2020-02-05,2,11,1,12,0
2020-02-06,2,11,1,12,0
2020-02-07,3,11,1,13,0
2020-02-08,3,11,1,13,0
2020-02-09,3,11,2,14,0
2020-02-10,3,11,2,14,0
2020-02-11,3,12,2,16,0
2020-02-12,3,12,2,16,0
2020-02-13,3,13,2,16,0
2020-02-14,3,13,2,16,0
2020-02-15,3,13,2,16,0
2020-02-16,3,13,2,16,0
2020-02-17,3,13,2,16,0
2020-02-18,3,13,2,16,0
2020-02-19,3,13,2,16,0
2020-02-20,3,13,2,16,0
2020-02-21,20,15,2,16,0
2020-02-22,62,15,2,16,0
2020-02-23,155,15,2,16,0
2020-02-24,229,51,2,16,0
2020-02-25,322,51,6,17,0
2020-02-26,453,57,13,27,0
2020-02-27,655,58,15,46,0
2020-02-28,888,60,32,48,0
2020-02-29,1128,68,45,79,0
2020-03-01,1694,74,84,130,0
2020-03-02,2036,98,120,159,0
2020-03-03,2502,118,165,196,0
2020-03-04,3089,149,222,262,0
2020-03-05,3858,219,259,482,0
2020-03-06,4636,267,400,670,0
2020-03-07,5883,403,500,799,0
2020-03-08,7375,519,673,1040,0
2020-03-09,9172,588,1073,1176,0
2020-03-10,10149,962,1695,1457,0
2020-03-11,12462,1285,2277,1908,0
2020-03-12,15113,1667,2277,2078,0
2020-03-13,17660,2181,5232,3675,0
2020-03-14,21157,2729,6391,4585,0
2020-03-15,24747,3536,7798,5795,0
2020-03-16,27980,4661,9942,7272,0
2020-03-17,31506,6437,11748,9257,0
2020-03-18,35713,7781,13910,12327,0
2020-03-19,41035,13748,17963,15320,0
2020-03-20,47021,19274,20410,19848,0
2020-03-21,53578,25600,25374,22213,0
2020-03-22,59138,33280,28768,24873,0
2020-03-23,63927,43862,35136,29056,0
2020-03-24,69176,53925,39885,32986,0
2020-03-25,74386,65844,49515,37323,0
2020-03-26,80589,83836,57786,43938,0
2020-03-27,86498,101962,65719,50871,0
2020-03-28,92472,121786,73235,57695,0
2020-03-29,97689,140910,80110,62095,0
2020-03-30,101739,162147,87956,66885,0
2020-03-31,105792,188172,95923,71808,0
2020-04-01,110574,213602,104118,77872,0
2020-04-02,115242,244008,112065,84794,0
2020-04-03,119827,275798,119199,91159,0
2020-04-04,124632,309027,126168,96092,0
2020-04-05,128948,336802,131646,100123,0
2020-04-06,132547,366317,136675,103374,0
2020-04-07,135586,397121,141942,107663,0
2020-04-08,139422,428654,148220,113296,0
2020-04-09,143626,463327,153222,118181,0
2020-04-10,147577,496846,158273,122171,0
2020-04-11,152271,526776,163027,124908,0
2020-04-12,156363,555313,166831,127854,0
2020-04-13,159516,580624,170099,130072,0
2020-04-14,162488,607670,172541,131359,0
2020-04-15,165155,636674,177644,134753,0
2020-04-16,168941,667981,184948,137698,0
2020-04-17,172434,700062,190839,141397,0
2020-04-18,175925,732590,191726,143342,0
2020-04-19,178972,758809,198674,145184,0
2020-04-20,181228,784708,200210,147065,0
2020-04-21,183957,811865,204178,148291,0
2020-04-22,187327,840351,208389,150648,0
2020-04-23,189973,869170,213024,153129,0
2020-04-24,192994,905358,202990,154999,0
2020-04-25,195351,938154,205905,156513,0
2020-04-26,197675,965785,207634,157770,0
2020-04-27,199414,988197,209465,158758,0
2020-04-28,201505,1012582,210773,159912,0
2020-04-29,203591,1039909,212917,161539,0
2020-04-30,205463,1069424,213435,163009,0
2020-05-01,207428,1103461,215216,164077,0
2020-05-02,209328,1132539,216582,164967,0
2020-05-03,210717,1158040,217466,165664,0
2020-05-04,211938,1180375,218011,166152,0
2020-05-05,213013,1204351,219329,167007,0
2020-05-06,214457,1229331,220325,168162,0
2020-05-07,215858,1257023,221447,169430,0
2020-05-08,217185,1283929,222857,170588,0
2020-05-09,218268,1309550,223578,171324,0
2020-05-10,219070,1329260,224350,171879,0
2020-05-11,219814,1347881,227436,172576,0
2020-05-12,221216,1369376,228030,173171,0
2020-05-13,222104,1390406,228691,174098,0
2020-05-14,223096,1417774,229540,174478,0
2020-05-15,223885,1442824,230183,175233,0
2020-05-16,224760,1467820,230698,175752,0
2020-05-17,225435,1486757,230698,176369,0
2020-05-18,225886,1508308,231606,176551,0
2020-05-19,226699,1528568,232037,177778,0
2020-05-20,227364,1551853,232555,178473,0
2020-05-21,228006,1577147,233037,179021,0
2020-05-22,228658,1600937,234824,179710,0
2020-05-23,229327,1622612,235290,179986,0
2020-05-24,229858,1643246,235772,180328,0
2020-05-25,230158,1662302,235400,180600,0
2020-05-26,230555,1680913,236259,181200,0
2020-05-27,231139,1699176,236259,181524,0
2020-05-28,231732,1721753,237906,182196,0
2020-05-29,232248,1746019,238564,182922,0
2020-05-30,232664,1770165,239228,183189,0
2020-05-31,232997,1790172,239479,183410,0
2020-06-01,233197,1811020,239638,183594,0
2020-06-02,233515,1831821,239932,183879,0
2020-06-03,233836,1851520,240326,184121,0
2020-06-04,234013,1872660,240660,184472,0
2020-06-05,234531,1897380,240978,184924,0
2020-06-06,234801,1920061,241310,185450,0
2020-06-07,234998,1942363,241550,185750,0
